ID,BedrijfskenmerkenSBI2008,Perioden,Ziekteverzuimpercentage_1
517,300003 ,2015KW03,4.0
518,300003 ,2015KW04,4.5
519,300003 ,2015JJ00,4.5
520,300003 ,2016KW01,5.1
521,300003 ,2016KW02,4.3
522,300003 ,2016KW03,4.0
523,300003 ,2016KW04,4.6
524,300003 ,2016JJ00,4.5
525,300003 ,2017KW01,4.9
526,300003 ,2017KW02,4.4
527,300003 ,2017KW03,4.2
528,300003 ,2017KW04,4.8
529,300003 ,2017JJ00,4.6
530,300003 ,2018KW01,5.6
531,300003 ,2018KW02,4.7
532,300003 ,2018KW03,4.5
533,300003 ,2018KW04,4.9
534,300003 ,2018JJ00,4.9
535,300003 ,2019KW01,5.3
536,300003 ,2019KW02,4.8
537,300003 ,2019KW03,4.6
538,300003 ,2019KW04,5.2
539,300003 ,2019JJ00,5.0
540,300003 ,2020KW01,6.1
541,300003 ,2020KW02,5.3
542,300003 ,2020KW03,5.0
543,300003 ,2020KW04,5.7
544,300003 ,2020JJ00,5.5
545,300003 ,2021KW01,5.5
546,300003 ,2021KW02,5.4
547,300003 ,2021KW03,5.1
548,300003 ,2021KW04,6.1
549,300003 ,2021JJ00,5.5
550,300003 ,2022KW01,6.9
551,300003 ,2022KW02,5.9
552,300003 ,2022KW03,5.5
553,300003 ,2022KW04,6.1
554,300003 ,2022JJ00,6.1
555,300003 ,2023KW01,6.3
556,300003 ,2023KW02,5.3
557,300003 ,2023KW03,5.2
558,300003 ,2023KW04,5.9
559,300003 ,2023JJ00,5.7
560,307500 ,1996KW01,5.9
561,307500 ,1996KW02,5.1
562,307500 ,1996KW03,4.5
563,307500 ,1996KW04,5.3
564,307500 ,1996JJ00,5.2
565,307500 ,1997KW01,5.7
566,307500 ,1997KW02,5.2
567,307500 ,1997KW03,5.2
568,307500 ,1997KW04,6.0
569,307500 ,1997JJ00,5.5
570,307500 ,1998KW01,6.3
571,307500 ,1998KW02,6.1
572,307500 ,1998KW03,5.7
573,307500 ,1998KW04,6.5
574,307500 ,1998JJ00,6.1
575,307500 ,1999KW01,7.1
576,307500 ,1999KW02,6.3
577,307500 ,1999KW03,5.9
578,307500 ,1999KW04,6.9
579,307500 ,1999JJ00,6.6
580,307500 ,2000KW01,7.1
581,307500 ,2000KW02,6.3
582,307500 ,2000KW03,5.9
583,307500 ,2000KW04,6.8
584,307500 ,2000JJ00,6.6
585,307500 ,2001KW01,6.9
586,307500 ,2001KW02,6.4
587,307500 ,2001KW03,6.1
588,307500 ,2001KW04,6.8
589,307500 ,2001JJ00,6.5
590,307500 ,2002KW01,7.1
591,307500 ,2002KW02,6.4
592,307500 ,2002KW03,5.8
593,307500 ,2002KW04,6.7
594,307500 ,2002JJ00,6.5
595,307500 ,2003KW01,6.4
596,307500 ,2003KW02,5.8
597,307500 ,2003KW03,5.3
598,307500 ,2003KW04,6.0
599,307500 ,2003JJ00,5.9
600,307500 ,2004KW01,5.7
601,307500 ,2004KW02,5.0
602,307500 ,2004KW03,4.6
603,307500 ,2004KW04,5.5
604,307500 ,2004JJ00,5.2
605,307500 ,2005KW01,5.8
606,307500 ,2005KW02,5.2
607,307500 ,2005KW03,4.7
608,307500 ,2005KW04,5.6
609,307500 ,2005JJ00,5.3
610,307500 ,2006KW01,6.1
611,307500 ,2006KW02,5.4
612,307500 ,2006KW03,5.0
613,307500 ,2006KW04,5.9
614,307500 ,2006JJ00,5.6
615,307500 ,2007KW01,5.4
616,307500 ,2007KW02,4.7
617,307500 ,2007KW03,4.3
618,307500 ,2007KW04,5.2
619,307500 ,2007JJ00,4.9
620,307500 ,2008KW01,5.4
621,307500 ,2008KW02,4.8
622,307500 ,2008KW03,4.4
623,307500 ,2008KW04,5.2
624,307500 ,2008JJ00,5.0
625,307500 ,2009KW01,5.4
626,307500 ,2009KW02,4.8
627,307500 ,2009KW03,4.9
628,307500 ,2009KW04,5.6
629,307500 ,2009JJ00,5.2
630,307500 ,2010KW01,5.5
631,307500 ,2010KW02,4.9
632,307500 ,2010KW03,4.9
633,307500 ,2010KW04,5.3
634,307500 ,2010JJ00,5.1
635,307500 ,2011KW01,5.7
636,307500 ,2011KW02,5.1
637,307500 ,2011KW03,4.9
